Locus,Cell_type,Assay,Count,Celltype_Assay,background,Study,Gene_Symbol,CTCF,Distance_To_TSS,Annotation
SPTSSB,neurons,promoters,1,neurons_promoters,1,Nott et al. (2019),,,,
SPTSSB,oligo,promoters,1,oligo_promoters,1,Nott et al. (2019),,,,
SYT17,neurons,enhancers,2,neurons_enhancers,1,Nott et al. (2019),,,,
TRIM40,neurons,promoters,1,neurons_promoters,1,Nott et al. (2019),,,,
TRIM40,microglia,enhancers,1,microglia_enhancers,1,Nott et al. (2019),,,,
HIP1R,microglia,PLAC,2,microglia_PLAC,,Nott et al. (2019),,,,
HIP1R,neurons,PLAC,1,neurons_PLAC,,Nott et al. (2019),,,,
ATP6V0A1,microglia,PLAC,2,microglia_PLAC,,Nott et al. (2019),,,,
ATP6V0A1,oligo,PLAC,2,oligo_PLAC,,Nott et al. (2019),,,,
CAMK2D,microglia,PLAC,3,microglia_PLAC,,Nott et al. (2019),,,,
CAMK2D,neurons,PLAC,2,neurons_PLAC,,Nott et al. (2019),,,,
CHRNB1,microglia,PLAC,4,microglia_PLAC,,Nott et al. (2019),,,,
CHRNB1,oligo,PLAC,2,oligo_PLAC,,Nott et al. (2019),,,,
CRHR1,neurons,PLAC,3,neurons_PLAC,,Nott et al. (2019),,,,
FCGR2A,microglia,PLAC,2,microglia_PLAC,,Nott et al. (2019),,,,
FGF20,microglia,PLAC,2,microglia_PLAC,,Nott et al. (2019),,,,
FGF20,neurons,PLAC,2,neurons_PLAC,,Nott et al. (2019),,,,
INPP5F,microglia,PLAC,2,microglia_PLAC,,Nott et al. (2019),,,,
IP6K2,microglia,PLAC,4,microglia_PLAC,,Nott et al. (2019),,,,
LRRK2,microglia,PLAC,3,microglia_PLAC,,Nott et al. (2019),,,,
NUCKS1,microglia,PLAC,4,microglia_PLAC,,Nott et al. (2019),,,,
RETREG3,microglia,PLAC,2,microglia_PLAC,,Nott et al. (2019),,,,
RETREG3,oligo,PLAC,2,oligo_PLAC,,Nott et al. (2019),,,,
RNF141,microglia,PLAC,1,microglia_PLAC,,Nott et al. (2019),,,,
SETD1A,microglia,PLAC,3,microglia_PLAC,,Nott et al. (2019),,,,
SNCA,neurons,PLAC,3,neurons_PLAC,,Nott et al. (2019),,,,
SPTSSB,neurons,PLAC,2,neurons_PLAC,,Nott et al. (2019),,,,
TMEM175,microglia,PLAC,4,microglia_PLAC,,Nott et al. (2019),,,,
ATP6V0A1,neurons,PLAC,1,neurons_PLAC,,Nott et al. (2019),,,,
BIN3,microglia,PLAC,3,microglia_PLAC,,Nott et al. (2019),,,,
C5orf24,microglia,PLAC,1,microglia_PLAC,,Nott et al. (2019),,,,
C5orf24,oligo,PLAC,1,oligo_PLAC,,Nott et al. (2019),,,,
CAMK2D,oligo,PLAC,1,oligo_PLAC,,Nott et al. (2019),,,,
CTSB,microglia,PLAC,2,microglia_PLAC,,Nott et al. (2019),,,,
CTSB,neurons,PLAC,2,neurons_PLAC,,Nott et al. (2019),,,,
FAM171A2,microglia,PLAC,3,microglia_PLAC,,Nott et al. (2019),,,,
FAM49B,oligo,PLAC,1,oligo_PLAC,,Nott et al. (2019),,,,
FCGR2A,neurons,PLAC,1,neurons_PLAC,,Nott et al. (2019),,,,
GALC,microglia,PLAC,1,microglia_PLAC,,Nott et al. (2019),,,,
GALC,neurons,PLAC,1,neurons_PLAC,,Nott et al. (2019),,,,
GALC,oligo,PLAC,1,oligo_PLAC,,Nott et al. (2019),,,,
GS1-124K5.11,microglia,PLAC,1,microglia_PLAC,,Nott et al. (2019),,,,
GS1-124K5.11,oligo,PLAC,1,oligo_PLAC,,Nott et al. (2019),,,,
HIP1R,oligo,PLAC,2,oligo_PLAC,,Nott et al. (2019),,,,
HLA-DRB5,microglia,PLAC,3,microglia_PLAC,,Nott et al. (2019),,,,
IP6K2,neurons,PLAC,2,neurons_PLAC,,Nott et al. (2019),,,,
IP6K2,oligo,PLAC,2,oligo_PLAC,,Nott et al. (2019),,,,
ITPKB,oligo,PLAC,3,oligo_PLAC,,Nott et al. (2019),,,,
KCNIP3,oligo,PLAC,1,oligo_PLAC,,Nott et al. (2019),,,,
KPNA1,microglia,PLAC,1,microglia_PLAC,,Nott et al. (2019),,,,
KPNA1,neurons,PLAC,1,neurons_PLAC,,Nott et al. (2019),,,,
KRTCAP2,oligo,PLAC,2,oligo_PLAC,,Nott et al. (2019),,,,
MBNL2,neurons,PLAC,1,neurons_PLAC,,Nott et al. (2019),,,,
MBNL2,oligo,PLAC,1,oligo_PLAC,,Nott et al. (2019),,,,
MED12L,microglia,PLAC,3,microglia_PLAC,,Nott et al. (2019),,,,
NOD2,microglia,PLAC,2,microglia_PLAC,,Nott et al. (2019),,,,
RETREG3,neurons,PLAC,1,neurons_PLAC,,Nott et al. (2019),,,,
RNF141,oligo,PLAC,3,oligo_PLAC,,Nott et al. (2019),,,,
SETD1A,neurons,PLAC,1,neurons_PLAC,,Nott et al. (2019),,,,
SETD1A,oligo,PLAC,1,oligo_PLAC,,Nott et al. (2019),,,,
SH3GL2,neurons,PLAC,2,neurons_PLAC,,Nott et al. (2019),,,,
SP1,oligo,PLAC,3,oligo_PLAC,,Nott et al. (2019),,,,
SPTSSB,microglia,PLAC,1,microglia_PLAC,,Nott et al. (2019),,,,
TRIM40,microglia,PLAC,1,microglia_PLAC,,Nott et al. (2019),,,,
TRIM40,neurons,PLAC,1,neurons_PLAC,,Nott et al. (2019),,,,
TRIM40,oligo,PLAC,1,oligo_PLAC,,Nott et al. (2019),,,,
UBAP2,microglia,PLAC,1,microglia_PLAC,,Nott et al. (2019),,,,
ASXL3,oligo,PLAC,2,oligo_PLAC,,Nott et al. (2019),,,,
INPP5F,neurons,PLAC,1,neurons_PLAC,,Nott et al. (2019),,,,
KRTCAP2,microglia,PLAC,3,microglia_PLAC,,Nott et al. (2019),,,,
KRTCAP2,neurons,PLAC,1,neurons_PLAC,,Nott et al. (2019),,,,
LRRK2,neurons,PLAC,3,neurons_PLAC,,Nott et al. (2019),,,,
NUCKS1,oligo,PLAC,2,oligo_PLAC,,Nott et al. (2019),,,,
NUCKS1,neurons,PLAC,2,neurons_PLAC,,Nott et al. (2019),,,,
SNCA,microglia,PLAC,1,microglia_PLAC,,Nott et al. (2019),,,,
C5orf24,neurons,PLAC,1,neurons_PLAC,,Nott et al. (2019),,,,
CHRNB1,neurons,PLAC,1,neurons_PLAC,,Nott et al. (2019),,,,
DLG2,microglia,PLAC,1,microglia_PLAC,,Nott et al. (2019),,,,
DLG2,neurons,PLAC,3,neurons_PLAC,,Nott et al. (2019),,,,
DLG2,oligo,PLAC,1,oligo_PLAC,,Nott et al. (2019),,,,
DNAH17,microglia,PLAC,3,microglia_PLAC,,Nott et al. (2019),,,,
DYRK1A,neurons,PLAC,2,neurons_PLAC,,Nott et al. (2019),,,,
DYRK1A,microglia,PLAC,1,microglia_PLAC,,Nott et al. (2019),,,,
GBF1,microglia,PLAC,3,microglia_PLAC,,Nott et al. (2019),,,,
GBF1,neurons,PLAC,2,neurons_PLAC,,Nott et al. (2019),,,,
GBF1,oligo,PLAC,2,oligo_PLAC,,Nott et al. (2019),,,,
GPNMB,microglia,PLAC,1,microglia_PLAC,,Nott et al. (2019),,,,
ITPKB,microglia,PLAC,3,microglia_PLAC,,Nott et al. (2019),,,,
KPNA1,oligo,PLAC,1,oligo_PLAC,,Nott et al. (2019),,,,
SLC2A13,neurons,PLAC,3,neurons_PLAC,,Nott et al. (2019),,,,
SP1,neurons,PLAC,2,neurons_PLAC,,Nott et al. (2019),,,,
VAMP4,microglia,PLAC,1,microglia_PLAC,,Nott et al. (2019),,,,
DYRK1A,neurons (+),scATAC,1,ExcitatoryNeurons_scATAC,,Corces et al. (2020),PRKG1-AS1,FALSE,0,Promoter
SIPA1L2,neurons (+),scATAC,1,ExcitatoryNeurons_scATAC,,Corces et al. (2020),SIPA1L2,FALSE,-6198,Intron
SPTSSB,neurons (+),scATAC,1,ExcitatoryNeurons_scATAC,,Corces et al. (2020),THY1,FALSE,-77091,Intron
SIPA1L2,neurons (+),Cicero,1,ExcitatoryNeurons_Cicero,,Corces et al. (2020),SIPA1L2,FALSE,-6198,Intron
DYRK1A,neurons (-),scATAC,1,InhibitoryNeurons_scATAC,,Corces et al. (2020),PRKG1-AS1,FALSE,0,Promoter
SPTSSB,neurons (-),scATAC,1,InhibitoryNeurons_scATAC,,Corces et al. (2020),THY1,FALSE,-77091,Intron
DYRK1A,neurons (nigral),scATAC,1,NigralNeurons_scATAC,,Corces et al. (2020),PRKG1-AS1,FALSE,0,Promoter
SPTSSB,neurons (nigral),scATAC,1,NigralNeurons_scATAC,,Corces et al. (2020),THY1,FALSE,-77091,Intron
FCGR2A,microglia,scATAC,1,Microglia_scATAC,,Corces et al. (2020),FCGR2A,FALSE,-6041,Distal
INPP5F,microglia,scATAC,1,Microglia_scATAC,,Corces et al. (2020),HS6ST1,FALSE,-303662,Distal
HLA-DRB5,microglia,scATAC,1,Microglia_scATAC,,Corces et al. (2020),RORA,FALSE,-2017,3' UTR
LRRK2,microglia,scATAC,1,Microglia_scATAC,,Corces et al. (2020),BBX,TRUE,-1919,Intron
MED12L,microglia,scATAC,1,Microglia_scATAC,,Corces et al. (2020),DRD2,FALSE,-948,Promoter
FCGR2A,microglia,Cicero,1,Microglia_Cicero,,Corces et al. (2020),FCGR2A,FALSE,-6041,Distal
HIP1R,oligo,scATAC,1,Oligodendrocytes_scATAC,,Corces et al. (2020),UTS2B,FALSE,-8041,Intron
MBNL2,oligo,scATAC,1,Oligodendrocytes_scATAC,,Corces et al. (2020),SLC10A6,FALSE,31856,Distal
RPS6KL1,oligo,scATAC,1,Oligodendrocytes_scATAC,,Corces et al. (2020),ZDHHC11,FALSE,0,Promoter
HIP1R,astrocytes,scATAC,1,Astrocytes_scATAC,,Corces et al. (2020),UTS2B,FALSE,-8041,Intron
SP1,astrocytes,scATAC,1,Astrocytes_scATAC,,Corces et al. (2020),LINC02035,FALSE,-18232,Intron
VPS13C,astrocytes,scATAC,1,Astrocytes_scATAC,,Corces et al. (2020),LINC01950,TRUE,711340,Distal
HIP1R,OPCs,scATAC,1,OPCs_scATAC,,Corces et al. (2020),UTS2B,FALSE,-8041,Intron
SPTSSB,OPCs,scATAC,1,OPCs_scATAC,,Corces et al. (2020),THY1,FALSE,-77091,Intron
CAMK2D,brain,bulkATAC,1,brain_bulkATAC,,Corces et al. (2020),CAMK2D,FALSE,62460,3' UTR
IP6K2,brain,bulkATAC,1,brain_bulkATAC,,Corces et al. (2020),IP6K2,FALSE,502,Promoter
MBNL2,brain,bulkATAC,1,brain_bulkATAC,,Corces et al. (2020),MBNL2,FALSE,-8627,Distal
SIPA1L2,brain,bulkATAC,1,brain_bulkATAC,,Corces et al. (2020),SIPA1L2,FALSE,-6240,Intron
TRIM40,brain,bulkATAC,1,brain_bulkATAC,,Corces et al. (2020),NA,TRUE,-1125267,5' UTR
HIP1R,brain,HiChIP_FitHiChIP,3,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
C5orf24,brain,HiChIP_FitHiChIP,3,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
CAMK2D,brain,HiChIP_FitHiChIP,3,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
CHRNB1,brain,HiChIP_FitHiChIP,4,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
CLCN3,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
CRHR1,brain,HiChIP_FitHiChIP,5,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
FAM171A2,brain,HiChIP_FitHiChIP,3,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
FCGR2A,brain,HiChIP_FitHiChIP,3,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
IGSF9B,brain,HiChIP_FitHiChIP,3,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
IP6K2,brain,HiChIP_FitHiChIP,4,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
KCNIP3,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
KRTCAP2,brain,HiChIP_FitHiChIP,3,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
LRRK2,brain,HiChIP_FitHiChIP,3,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
NUCKS1,brain,HiChIP_FitHiChIP,5,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
RIT2,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
RNF141,brain,HiChIP_FitHiChIP,3,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
SETD1A,brain,HiChIP_FitHiChIP,3,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
SYT17,brain,HiChIP_FitHiChIP,1,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
TMEM175,brain,HiChIP_FitHiChIP,3,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
UBAP2,brain,HiChIP_FitHiChIP,1,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
ATP6V0A1,brain,HiChIP_FitHiChIP,3,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
BIN3,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
CASC16,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
CHD9,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
CRLS1,brain,HiChIP_FitHiChIP,1,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
CTSB,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
DLG2,brain,HiChIP_FitHiChIP,3,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
DNAH17,brain,HiChIP_FitHiChIP,3,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
DYRK1A,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
GALC,brain,HiChIP_FitHiChIP,1,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
GBF1,brain,HiChIP_FitHiChIP,1,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
ITPKB,brain,HiChIP_FitHiChIP,4,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
MBNL2,brain,HiChIP_FitHiChIP,1,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
MCCC1,brain,HiChIP_FitHiChIP,3,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
MED12L,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
MEX3C,brain,HiChIP_FitHiChIP,1,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
NOD2,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
RETREG3,brain,HiChIP_FitHiChIP,3,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
RPS6KL1,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
SH3GL2,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
SIPA1L2,brain,HiChIP_FitHiChIP,3,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
SLC2A13,brain,HiChIP_FitHiChIP,4,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
SNCA,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
WNT3,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
INPP5F,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
CD19,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
LINC00693,brain,HiChIP_FitHiChIP,1,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
BST1,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
FAM49B,brain,HiChIP_FitHiChIP,1,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
GPNMB,brain,HiChIP_FitHiChIP,1,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
SPTSSB,brain,HiChIP_FitHiChIP,1,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
STK39,brain,HiChIP_FitHiChIP,1,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
